,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
143,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-7.130333424,68401,31758
144,124,Pitt Bank C,Southern Banks,Chagos,71.23999786376953,-7.110487938,96309,31759
145,124,Pitt Bank C,Southern Banks,Chagos,71.26000213623047,-7.110487938,23986,31760
146,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.110487938,58004,31761
147,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.110487938,198274,31762
148,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.110487938,267040,31763
149,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.110487938,670520,31764
150,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.110487938,48063,31765
151,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-7.110487938,123670,31766
152,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.110487938,1467539,31767
153,124,Pitt Bank C,Southern Banks,Chagos,71.19999694824219,-7.090641499,21888,31768
154,124,Pitt Bank C,Southern Banks,Chagos,71.22000122070312,-7.090641499,91,31769
155,124,Pitt Bank C,Southern Banks,Chagos,71.23999786376953,-7.090641499,6931,31770
156,124,Pitt Bank C,Southern Banks,Chagos,71.26000213623047,-7.090641499,60102,31771
157,124,Pitt Bank C,Southern Banks,Chagos,71.27999877929688,-7.090641499,62838,31772
158,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.090641499,33288,31773
159,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.090641499,420899,31774
160,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.090641499,223628,31775
161,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.090641499,711105,31776
162,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.090641499,592725,31777
163,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-7.090641499,255640,31778
164,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.090641499,1835723,31779
165,124,Pitt Bank C,Southern Banks,Chagos,71.48000336,-7.090641499,3192,31780
166,124,Pitt Bank C,Southern Banks,Chagos,71.18000030517578,-7.070794582,346387,31781
167,124,Pitt Bank C,Southern Banks,Chagos,71.19999694824219,-7.070794582,348393,31782
168,124,Pitt Bank C,Southern Banks,Chagos,71.27999877929688,-7.070794582,429381,31783
169,124,Pitt Bank C,Southern Banks,Chagos,71.30000305175781,-7.070794582,55268,31784
170,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.070794582,280721,31785
171,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.070794582,571839,31786
172,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.070794582,230195,31787
173,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.070794582,760628,31788
174,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-7.070794582,742844,31789
175,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.070794582,853472,31790
176,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.070794582,2010923,31791
177,124,Pitt Bank C,Southern Banks,Chagos,71.48000336,-7.070794582,161793,31792
178,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.050946712,57457,31793
179,124,Pitt Bank C,Southern Banks,Chagos,71.33999633789062,-7.050946712,228918,31794
180,124,Pitt Bank C,Southern Banks,Chagos,71.36000061035156,-7.050946712,59737,31795
181,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.050946712,281724,31796
182,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-7.050946712,185688,31797
183,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.050946712,577038,31798
184,124,Pitt Bank C,Southern Banks,Chagos,71.44000244140625,-7.050946712,4468,31799
185,124,Pitt Bank C,Southern Banks,Chagos,71.45999908447266,-7.050946712,2373727,31800
186,124,Pitt Bank C,Southern Banks,Chagos,71.31999969482422,-7.031097889,36572,31801
187,124,Pitt Bank C,Southern Banks,Chagos,71.37999725341797,-7.031097889,190795,31802
188,124,Pitt Bank C,Southern Banks,Chagos,71.40000153,-7.031097889,11035,31803
189,124,Pitt Bank C,Southern Banks,Chagos,71.41999816894531,-7.031097889,273,31804
