Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency
49,0.037500000000000006,0.0016416139240506332,0.0,0.0,2.1432749197752287e-09,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
50,0.037500000000000006,0.0016416139240506332,0.0125,0.0023734177215189874,2.1432749197752287e-09,1.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
51,0.037500000000000006,0.0016416139240506332,0.0125,0.00031645569620253165,1.3217598434714294e-144,1.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
52,0.025,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
53,0.025,0.0016416139240506332,0.0125,0.00015822784810126583,1.3217598434714294e-144,1.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
54,0.037500000000000006,0.0016416139240506332,0.0375,0.0,3.959520228264076e-144,3.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
55,0.0125,0.0016416139240506332,0.0125,0.0,1.3217598434714294e-144,1.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
56,0.025,0.0016416139240506332,0.030624999999999996,0.0006856540084388185,9.773333634175025e-07,3.0000000000000004,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
57,0.0125,0.0016416139240506332,0.030624999999999996,0.0,9.773333634175025e-07,3.0000000000000004,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
58,0.0,0.0016416139240506332,0.0,0.0,2.8796510751011556e-147,0.0,0.0,0.010956790123456791,"{0: 0.04499274310595065, 1: 0.0960591133004926, 2: 0.1286549707602339, 3: 0.19444444444444445, 4: 0.4, 5: 0.3333333333333333, 6: 0.0}",0.125,0.08570987654320998
